ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16296,71,143,0
1,1,365,16225,56,127,0
2,2,730,16153,68,140,0
3,3,1095,16068,74,159,0
4,4,1460,15999,72,141,0
5,5,1825,15921,64,142,0
6,6,2190,15837,67,151,0
7,7,2555,15764,96,169,0
8,8,2920,15702,99,161,0
9,9,3285,15651,105,156,0
10,10,3650,15578,80,153,0
11,11,4015,15544,103,137,0
12,12,4380,15479,98,163,0
13,13,4745,15430,121,170,0
14,14,5110,15384,118,164,0
15,15,5475,15340,114,158,0
16,16,5840,15294,124,170,0
17,17,6205,15260,139,173,0
18,18,6570,15187,118,191,0
19,19,6935,15145,139,181,0
20,20,7300,15078,111,178,0
