ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16261,63,169,0
1,1,365,16183,71,149,0
2,2,730,16076,51,158,0
3,3,1095,16026,65,115,0
4,4,1460,15956,62,132,0
5,5,1825,15859,60,157,0
6,6,2190,15762,58,155,0
7,7,2555,15705,68,125,0
8,8,2920,15615,63,153,0
9,9,3285,15502,64,177,0
10,10,3650,15416,63,149,0
11,11,4015,15328,70,158,0
12,12,4380,15235,61,154,0
13,13,4745,15166,68,137,0
14,14,5110,15068,62,160,0
15,15,5475,14981,70,157,0
16,16,5840,14891,91,181,0
17,17,6205,14776,76,191,0
18,18,6570,14685,79,170,0
19,19,6935,14572,76,189,0
20,20,7300,14450,75,197,0
