ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16300,69,136,0
1,1,365,16218,71,153,0
2,2,730,16156,88,150,0
3,3,1095,16090,76,142,0
4,4,1460,16040,89,139,0
5,5,1825,16021,116,135,0
6,6,2190,15983,91,129,0
7,7,2555,15936,113,160,0
8,8,2920,15875,82,143,0
9,9,3285,15837,110,148,0
10,10,3650,15757,113,193,0
11,11,4015,15696,114,175,0
12,12,4380,15676,113,133,0
13,13,4745,15646,124,154,0
14,14,5110,15598,134,182,0
15,15,5475,15564,124,158,0
16,16,5840,15505,125,184,0
17,17,6205,15473,141,173,0
18,18,6570,15402,104,175,0
19,19,6935,15330,140,212,0
20,20,7300,15265,133,198,0
