ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16296,62,133,0
1,1,365,16218,61,139,0
2,2,730,16136,54,136,0
3,3,1095,16026,43,153,0
4,4,1460,15948,56,134,0
5,5,1825,15881,68,135,0
6,6,2190,15770,35,146,0
7,7,2555,15672,41,139,0
8,8,2920,15546,49,175,0
9,9,3285,15437,48,157,0
10,10,3650,15340,39,136,0
11,11,4015,15223,32,149,0
12,12,4380,15115,41,149,0
13,13,4745,15010,60,165,0
14,14,5110,14854,40,196,0
15,15,5475,14718,41,177,0
16,16,5840,14593,45,170,0
17,17,6205,14452,40,181,0
18,18,6570,14343,43,152,0
19,19,6935,14210,49,182,0
20,20,7300,14084,51,177,0
