ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16265,52,154,0
1,1,365,16195,84,154,0
2,2,730,16103,65,157,0
3,3,1095,16039,80,144,0
4,4,1460,15970,78,147,0
5,5,1825,15891,78,157,0
6,6,2190,15821,95,165,0
7,7,2555,15760,79,140,0
8,8,2920,15688,89,161,0
9,9,3285,15625,97,160,0
10,10,3650,15575,112,162,0
11,11,4015,15497,96,174,0
12,12,4380,15442,120,175,0
13,13,4745,15382,108,168,0
14,14,5110,15341,117,158,0
15,15,5475,15276,110,175,0
16,16,5840,15203,129,202,0
17,17,6205,15161,129,171,0
18,18,6570,15113,135,183,0
19,19,6935,15073,133,173,0
20,20,7300,15015,110,168,0
