ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16249,17,135,0
1,1,365,16125,19,143,0
2,2,730,16004,13,134,0
3,3,1095,15856,14,162,0
4,4,1460,15724,18,150,0
5,5,1825,15624,17,117,0
6,6,2190,15493,19,150,0
7,7,2555,15368,11,136,0
8,8,2920,15223,16,161,0
9,9,3285,15060,14,177,0
10,10,3650,14926,25,159,0
11,11,4015,14763,11,174,0
12,12,4380,14618,12,157,0
13,13,4745,14466,16,168,0
14,14,5110,14305,19,180,0
15,15,5475,14134,14,185,0
16,16,5840,13971,15,178,0
17,17,6205,13827,15,159,0
18,18,6570,13663,14,178,0
19,19,6935,13478,11,196,0
20,20,7300,13309,12,181,0
