ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16267,34,135,0
1,1,365,16146,30,151,0
2,2,730,16032,28,142,0
3,3,1095,15909,27,150,0
4,4,1460,15787,35,157,0
5,5,1825,15668,17,136,0
6,6,2190,15561,34,141,0
7,7,2555,15456,32,137,0
8,8,2920,15348,30,138,0
9,9,3285,15238,33,143,0
10,10,3650,15122,31,147,0
11,11,4015,14982,28,168,0
12,12,4380,14887,34,129,0
13,13,4745,14755,37,169,0
14,14,5110,14637,25,143,0
15,15,5475,14462,27,202,0
16,16,5840,14315,35,182,0
17,17,6205,14181,30,164,0
18,18,6570,14023,25,183,0
19,19,6935,13891,34,166,0
20,20,7300,13733,32,190,0
