ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16283,70,156,0
1,1,365,16189,76,170,0
2,2,730,16100,70,159,0
3,3,1095,16023,78,155,0
4,4,1460,15955,82,150,0
5,5,1825,15926,96,125,0
6,6,2190,15903,110,133,0
7,7,2555,15839,82,146,0
8,8,2920,15802,115,152,0
9,9,3285,15764,107,145,0
10,10,3650,15729,114,149,0
11,11,4015,15674,102,157,0
12,12,4380,15620,116,170,0
13,13,4745,15589,132,163,0
14,14,5110,15571,125,143,0
15,15,5475,15548,134,157,0
16,16,5840,15518,141,171,0
17,17,6205,15499,131,150,0
18,18,6570,15454,152,197,0
19,19,6935,15381,127,200,0
20,20,7300,15317,140,204,0
