ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16196,75,156,0
2,2,730,16139,74,131,0
3,3,1095,16069,72,142,0
4,4,1460,15975,64,158,0
5,5,1825,15903,81,153,0
6,6,2190,15836,83,150,0
7,7,2555,15769,88,155,0
8,8,2920,15726,93,136,0
9,9,3285,15679,92,139,0
10,10,3650,15619,102,162,0
11,11,4015,15546,99,172,0
12,12,4380,15518,110,138,0
13,13,4745,15474,115,159,0
14,14,5110,15425,113,162,0
15,15,5475,15389,132,168,0
16,16,5840,15352,127,164,0
17,17,6205,15281,123,194,0
18,18,6570,15182,113,212,0
19,19,6935,15117,119,184,0
20,20,7300,15037,110,190,0
