ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16292,74,150,0
1,1,365,16216,65,141,0
2,2,730,16147,61,130,0
3,3,1095,16066,72,153,0
4,4,1460,16011,91,146,0
5,5,1825,15958,99,152,0
6,6,2190,15883,72,147,0
7,7,2555,15812,79,150,0
8,8,2920,15760,92,144,0
9,9,3285,15686,76,150,0
10,10,3650,15630,92,148,0
11,11,4015,15593,111,148,0
12,12,4380,15530,105,168,0
13,13,4745,15471,91,150,0
14,14,5110,15408,100,163,0
15,15,5475,15361,124,171,0
16,16,5840,15288,104,177,0
17,17,6205,15230,112,170,0
18,18,6570,15204,133,159,0
19,19,6935,15162,149,191,0
20,20,7300,15130,145,177,0
