ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16296,71,143,0
1,1,365,16210,56,142,0
2,2,730,16150,89,149,0
3,3,1095,16071,78,157,0
4,4,1460,15999,77,149,0
5,5,1825,15940,76,135,0
6,6,2190,15886,89,143,0
7,7,2555,15845,104,145,0
8,8,2920,15798,91,138,0
9,9,3285,15739,95,154,0
10,10,3650,15698,101,142,0
11,11,4015,15667,113,144,0
12,12,4380,15619,96,144,0
13,13,4745,15585,123,157,0
14,14,5110,15522,115,178,0
15,15,5475,15496,143,169,0
16,16,5840,15442,122,176,0
17,17,6205,15371,122,193,0
18,18,6570,15349,144,166,0
19,19,6935,15285,139,203,0
20,20,7300,15253,139,171,0
