ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,55,158,0
1,1,365,16198,59,125,0
2,2,730,16113,61,146,0
3,3,1095,16035,78,156,0
4,4,1460,15960,59,134,0
5,5,1825,15882,57,135,0
6,6,2190,15798,58,142,0
7,7,2555,15714,63,147,0
8,8,2920,15640,70,144,0
9,9,3285,15578,66,128,0
10,10,3650,15506,69,141,0
11,11,4015,15410,83,179,0
12,12,4380,15333,73,150,0
13,13,4745,15253,74,154,0
14,14,5110,15177,84,160,0
15,15,5475,15062,74,189,0
16,16,5840,14974,99,187,0
17,17,6205,14883,88,179,0
18,18,6570,14760,90,213,0
19,19,6935,14695,103,168,0
20,20,7300,14586,74,183,0
