ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16289,71,151,0
1,1,365,16224,70,135,0
2,2,730,16147,70,147,0
3,3,1095,16094,81,134,0
4,4,1460,16026,88,156,0
5,5,1825,15950,87,163,0
6,6,2190,15878,91,163,0
7,7,2555,15816,88,150,0
8,8,2920,15768,89,137,0
9,9,3285,15721,112,159,0
10,10,3650,15690,114,145,0
11,11,4015,15625,114,179,0
12,12,4380,15576,107,156,0
13,13,4745,15536,119,159,0
14,14,5110,15481,125,180,0
15,15,5475,15443,137,175,0
16,16,5840,15375,117,185,0
17,17,6205,15339,137,173,0
18,18,6570,15319,138,158,0
19,19,6935,15272,138,185,0
20,20,7300,15206,121,187,0
