ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16243,40,164,0
1,1,365,16104,23,162,0
2,2,730,15973,20,151,0
3,3,1095,15848,23,148,0
4,4,1460,15710,18,156,0
5,5,1825,15610,21,121,0
6,6,2190,15489,20,141,0
7,7,2555,15346,20,163,0
8,8,2920,15219,21,148,0
9,9,3285,15075,16,160,0
10,10,3650,14936,24,163,0
11,11,4015,14808,22,150,0
12,12,4380,14673,32,167,0
13,13,4745,14524,28,177,0
14,14,5110,14389,28,163,0
15,15,5475,14236,26,179,0
16,16,5840,14035,21,222,0
17,17,6205,13876,21,180,0
18,18,6570,13718,22,180,0
19,19,6935,13563,30,185,0
20,20,7300,13377,22,208,0
