ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,75412,498,520,0
1,1,365,75466,542,488,0
2,2,730,75426,510,550,0
3,3,1095,75458,530,498,0
4,4,1460,75493,557,522,0
5,5,1825,75524,566,535,0
6,6,2190,75559,590,555,0
7,7,2555,75635,606,530,0
8,8,2920,75687,616,564,0
9,9,3285,75746,623,564,0
10,10,3650,75748,589,587,0
11,11,4015,75839,715,624,0
12,12,4380,75899,682,622,0
13,13,4745,75992,741,648,0
14,14,5110,76041,678,629,0
15,15,5475,76063,719,697,0
16,16,5840,76119,741,685,0
17,17,6205,76162,788,745,0
18,18,6570,76136,722,748,0
19,19,6935,76083,742,795,0
20,20,7300,76010,724,797,0
