ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16292,57,132,0
1,1,365,16209,62,145,0
2,2,730,16165,100,144,0
3,3,1095,16078,78,165,0
4,4,1460,15996,86,168,0
5,5,1825,15966,86,116,0
6,6,2190,15898,87,155,0
7,7,2555,15885,125,138,0
8,8,2920,15852,116,149,0
9,9,3285,15804,104,152,0
10,10,3650,15764,109,149,0
11,11,4015,15734,121,151,0
12,12,4380,15695,123,162,0
13,13,4745,15649,127,173,0
14,14,5110,15583,121,187,0
15,15,5475,15554,135,164,0
16,16,5840,15495,134,193,0
17,17,6205,15486,155,164,0
18,18,6570,15447,152,191,0
19,19,6935,15412,152,187,0
20,20,7300,15346,146,212,0
