ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16292,72,148,0
1,1,365,16206,48,134,0
2,2,730,16129,50,127,0
3,3,1095,16024,45,150,0
4,4,1460,15924,50,150,0
5,5,1825,15826,57,155,0
6,6,2190,15753,75,148,0
7,7,2555,15679,59,133,0
8,8,2920,15611,71,139,0
9,9,3285,15511,69,169,0
10,10,3650,15422,77,166,0
11,11,4015,15368,75,129,0
12,12,4380,15265,64,167,0
13,13,4745,15189,81,157,0
14,14,5110,15099,64,154,0
15,15,5475,15022,77,154,0
16,16,5840,14922,69,169,0
17,17,6205,14843,84,163,0
18,18,6570,14764,106,185,0
19,19,6935,14679,76,161,0
20,20,7300,14575,84,188,0
