ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16280,67,156,0
1,1,365,16217,58,121,0
2,2,730,16140,67,144,0
3,3,1095,16068,75,147,0
4,4,1460,15998,68,138,0
5,5,1825,15940,82,140,0
6,6,2190,15867,95,168,0
7,7,2555,15822,103,148,0
8,8,2920,15759,88,151,0
9,9,3285,15688,90,161,0
10,10,3650,15639,103,152,0
11,11,4015,15562,102,179,0
12,12,4380,15515,113,160,0
13,13,4745,15470,119,164,0
14,14,5110,15413,114,171,0
15,15,5475,15366,129,176,0
16,16,5840,15320,111,157,0
17,17,6205,15249,115,186,0
18,18,6570,15189,126,186,0
19,19,6935,15173,144,160,0
20,20,7300,15101,113,185,0
