ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16276,68,161,0
1,1,365,16202,67,141,0
2,2,730,16121,56,137,0
3,3,1095,16048,80,153,0
4,4,1460,15989,79,138,0
5,5,1825,15947,96,138,0
6,6,2190,15882,88,153,0
7,7,2555,15826,88,144,0
8,8,2920,15746,75,155,0
9,9,3285,15701,109,154,0
10,10,3650,15652,87,136,0
11,11,4015,15617,128,163,0
12,12,4380,15568,116,165,0
13,13,4745,15536,123,155,0
14,14,5110,15467,113,182,0
15,15,5475,15430,131,168,0
16,16,5840,15387,137,180,0
17,17,6205,15348,132,171,0
18,18,6570,15311,127,164,0
19,19,6935,15257,129,183,0
20,20,7300,15162,121,216,0
