ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16265,52,154,0
1,1,365,16178,71,158,0
2,2,730,16101,75,152,0
3,3,1095,16024,68,145,0
4,4,1460,15966,77,135,0
5,5,1825,15897,76,145,0
6,6,2190,15842,103,158,0
7,7,2555,15736,82,188,0
8,8,2920,15665,89,160,0
9,9,3285,15609,112,168,0
10,10,3650,15541,101,169,0
11,11,4015,15488,96,149,0
12,12,4380,15425,101,164,0
13,13,4745,15365,114,174,0
14,14,5110,15306,116,175,0
15,15,5475,15274,130,162,0
16,16,5840,15202,123,195,0
17,17,6205,15149,133,186,0
18,18,6570,15096,127,180,0
19,19,6935,15044,121,173,0
20,20,7300,14998,131,177,0
