ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16215,72,134,0
2,2,730,16159,81,137,0
3,3,1095,16100,82,141,0
4,4,1460,16014,76,162,0
5,5,1825,15933,89,170,0
6,6,2190,15867,92,158,0
7,7,2555,15804,74,137,0
8,8,2920,15724,85,165,0
9,9,3285,15649,90,165,0
10,10,3650,15585,98,162,0
11,11,4015,15525,113,173,0
12,12,4380,15480,107,152,0
13,13,4745,15431,104,153,0
14,14,5110,15373,106,164,0
15,15,5475,15308,112,177,0
16,16,5840,15266,119,161,0
17,17,6205,15205,116,177,0
18,18,6570,15129,121,197,0
19,19,6935,15061,118,186,0
20,20,7300,15008,142,195,0
