ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16260,49,156,0
1,1,365,16217,72,115,0
2,2,730,16118,62,161,0
3,3,1095,16056,84,146,0
4,4,1460,15993,75,138,0
5,5,1825,15916,82,159,0
6,6,2190,15873,102,145,0
7,7,2555,15805,86,154,0
8,8,2920,15746,84,143,0
9,9,3285,15687,106,165,0
10,10,3650,15656,103,134,0
11,11,4015,15611,106,151,0
12,12,4380,15558,114,167,0
13,13,4745,15534,130,154,0
14,14,5110,15485,123,172,0
15,15,5475,15448,135,172,0
16,16,5840,15400,128,176,0
17,17,6205,15364,128,164,0
18,18,6570,15302,119,181,0
19,19,6935,15275,155,182,0
20,20,7300,15185,116,206,0
