ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,60,147,0
1,1,365,16183,54,152,0
2,2,730,16086,49,146,0
3,3,1095,16011,68,143,0
4,4,1460,15934,68,145,0
5,5,1825,15847,55,142,0
6,6,2190,15749,52,150,0
7,7,2555,15630,54,173,0
8,8,2920,15533,72,169,0
9,9,3285,15456,60,137,0
10,10,3650,15345,54,165,0
11,11,4015,15252,68,161,0
12,12,4380,15133,70,189,0
13,13,4745,15040,78,171,0
14,14,5110,14971,81,150,0
15,15,5475,14890,78,159,0
16,16,5840,14811,89,168,0
17,17,6205,14705,84,190,0
18,18,6570,14615,77,167,0
19,19,6935,14510,82,187,0
20,20,7300,14416,80,174,0
