ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16295,62,135,0
1,1,365,16243,64,116,0
2,2,730,16184,86,145,0
3,3,1095,16094,70,160,0
4,4,1460,16036,83,141,0
5,5,1825,16008,87,115,0
6,6,2190,15947,94,155,0
7,7,2555,15897,105,155,0
8,8,2920,15838,95,154,0
9,9,3285,15783,101,156,0
10,10,3650,15723,97,157,0
11,11,4015,15690,108,141,0
12,12,4380,15657,106,139,0
13,13,4745,15617,122,162,0
14,14,5110,15554,106,169,0
15,15,5475,15455,105,204,0
16,16,5840,15391,110,174,0
17,17,6205,15355,119,155,0
18,18,6570,15310,126,171,0
19,19,6935,15262,130,178,0
20,20,7300,15192,132,202,0
