ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16271,57,153,0
1,1,365,16201,67,137,0
2,2,730,16107,54,148,0
3,3,1095,16013,53,147,0
4,4,1460,15935,63,141,0
5,5,1825,15870,85,150,0
6,6,2190,15789,78,159,0
7,7,2555,15712,72,149,0
8,8,2920,15634,77,155,0
9,9,3285,15551,74,157,0
10,10,3650,15498,91,144,0
11,11,4015,15428,81,151,0
12,12,4380,15358,91,161,0
13,13,4745,15266,68,160,0
14,14,5110,15189,86,163,0
15,15,5475,15117,83,155,0
16,16,5840,15057,111,171,0
17,17,6205,14999,108,166,0
18,18,6570,14937,113,175,0
19,19,6935,14867,99,169,0
20,20,7300,14769,115,213,0
