ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16220,5,154,0
1,1,365,16113,13,120,0
2,2,730,16006,9,116,0
3,3,1095,15866,5,145,0
4,4,1460,15739,9,136,0
5,5,1825,15603,9,145,0
6,6,2190,15456,8,155,0
7,7,2555,15297,11,170,0
8,8,2920,15163,16,150,0
9,9,3285,15022,12,153,0
10,10,3650,14909,17,130,0
11,11,4015,14770,16,155,0
12,12,4380,14622,10,158,0
13,13,4745,14476,10,156,0
14,14,5110,14309,13,180,0
15,15,5475,14154,13,168,0
16,16,5840,14006,17,165,0
17,17,6205,13854,9,161,0
18,18,6570,13696,14,172,0
19,19,6935,13513,13,196,0
20,20,7300,13326,9,196,0
