ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16272,40,136,0
1,1,365,16159,51,164,0
2,2,730,16085,47,121,0
3,3,1095,16000,49,134,0
4,4,1460,15904,46,142,0
5,5,1825,15811,40,133,0
6,6,2190,15698,36,149,0
7,7,2555,15594,40,144,0
8,8,2920,15457,31,168,0
9,9,3285,15338,30,149,0
10,10,3650,15201,22,159,0
11,11,4015,15051,22,172,0
12,12,4380,14914,20,157,0
13,13,4745,14761,15,168,0
14,14,5110,14611,20,170,0
15,15,5475,14446,15,180,0
16,16,5840,14279,9,176,0
17,17,6205,14096,12,195,0
18,18,6570,13921,9,184,0
19,19,6935,13767,6,160,0
20,20,7300,13572,5,200,0
