ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16294,54,127,0
1,1,365,16192,48,150,0
2,2,730,16123,63,132,0
3,3,1095,16042,54,135,0
4,4,1460,15941,59,160,0
5,5,1825,15831,47,157,0
6,6,2190,15742,52,141,0
7,7,2555,15652,68,158,0
8,8,2920,15568,67,151,0
9,9,3285,15480,69,157,0
10,10,3650,15358,52,174,0
11,11,4015,15271,61,148,0
12,12,4380,15189,71,153,0
13,13,4745,15095,71,165,0
14,14,5110,15017,80,158,0
15,15,5475,14916,78,179,0
16,16,5840,14821,75,170,0
17,17,6205,14743,76,154,0
18,18,6570,14657,94,180,0
19,19,6935,14586,81,152,0
20,20,7300,14455,75,206,0
