ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16205,69,141,0
2,2,730,16134,75,146,0
3,3,1095,16070,80,144,0
4,4,1460,15993,71,148,0
5,5,1825,15930,85,148,0
6,6,2190,15822,74,182,0
7,7,2555,15761,85,146,0
8,8,2920,15686,83,158,0
9,9,3285,15608,92,170,0
10,10,3650,15565,111,154,0
11,11,4015,15531,115,149,0
12,12,4380,15498,111,144,0
13,13,4745,15447,119,170,0
14,14,5110,15377,119,189,0
15,15,5475,15347,121,151,0
16,16,5840,15277,114,184,0
17,17,6205,15208,123,192,0
18,18,6570,15157,128,179,0
19,19,6935,15076,110,191,0
20,20,7300,15015,128,189,0
