ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16233,14,148,0
1,1,365,16099,10,144,0
2,2,730,15978,16,137,0
3,3,1095,15828,12,162,0
4,4,1460,15716,16,128,0
5,5,1825,15569,11,158,0
6,6,2190,15446,15,138,0
7,7,2555,15303,16,159,0
8,8,2920,15164,23,162,0
9,9,3285,15038,19,145,0
10,10,3650,14910,12,140,0
11,11,4015,14749,22,183,0
12,12,4380,14605,18,162,0
13,13,4745,14467,18,156,0
14,14,5110,14303,16,180,0
15,15,5475,14151,19,171,0
16,16,5840,13993,26,184,0
17,17,6205,13826,24,191,0
18,18,6570,13657,13,182,0
19,19,6935,13509,20,168,0
20,20,7300,13318,19,210,0
