ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16266,55,156,0
1,1,365,16193,71,144,0
2,2,730,16125,70,138,0
3,3,1095,16063,88,150,0
4,4,1460,16012,83,134,0
5,5,1825,15957,88,143,0
6,6,2190,15895,95,157,0
7,7,2555,15870,99,124,0
8,8,2920,15821,89,138,0
9,9,3285,15782,107,146,0
10,10,3650,15739,107,150,0
11,11,4015,15684,111,166,0
12,12,4380,15645,120,159,0
13,13,4745,15603,108,150,0
14,14,5110,15568,127,162,0
15,15,5475,15504,107,171,0
16,16,5840,15455,121,170,0
17,17,6205,15408,140,187,0
18,18,6570,15341,124,191,0
19,19,6935,15280,125,186,0
20,20,7300,15222,141,199,0
