ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16261,17,125,0
1,1,365,16136,13,138,0
2,2,730,15974,12,174,0
3,3,1095,15821,8,161,0
4,4,1460,15677,5,149,0
5,5,1825,15545,15,147,0
6,6,2190,15412,13,146,0
7,7,2555,15281,14,145,0
8,8,2920,15141,11,151,0
9,9,3285,15019,16,138,0
10,10,3650,14911,13,121,0
11,11,4015,14773,14,152,0
12,12,4380,14611,11,173,0
13,13,4745,14463,13,161,0
14,14,5110,14292,11,182,0
15,15,5475,14143,16,165,0
16,16,5840,13994,17,166,0
17,17,6205,13834,19,179,0
18,18,6570,13695,24,163,0
19,19,6935,13522,13,186,0
20,20,7300,13360,20,182,0
