ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16292,66,142,0
1,1,365,16238,72,126,0
2,2,730,16178,84,144,0
3,3,1095,16112,89,155,0
4,4,1460,16060,93,145,0
5,5,1825,16018,91,133,0
6,6,2190,16013,133,138,0
7,7,2555,15954,95,154,0
8,8,2920,15932,123,145,0
9,9,3285,15880,121,173,0
10,10,3650,15844,126,162,0
11,11,4015,15791,111,164,0
12,12,4380,15766,141,166,0
13,13,4745,15742,141,165,0
14,14,5110,15734,145,153,0
15,15,5475,15695,117,156,0
16,16,5840,15651,129,173,0
17,17,6205,15614,144,181,0
18,18,6570,15594,147,167,0
19,19,6935,15547,150,197,0
20,20,7300,15524,150,173,0
