ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16297,69,139,0
1,1,365,16210,60,147,0
2,2,730,16142,81,149,0
3,3,1095,16051,72,163,0
4,4,1460,15970,75,156,0
5,5,1825,15932,74,112,0
6,6,2190,15887,93,138,0
7,7,2555,15847,76,116,0
8,8,2920,15778,88,157,0
9,9,3285,15729,109,158,0
10,10,3650,15665,98,162,0
11,11,4015,15619,101,147,0
12,12,4380,15558,107,168,0
13,13,4745,15491,99,166,0
14,14,5110,15426,111,176,0
15,15,5475,15350,110,186,0
16,16,5840,15307,112,155,0
17,17,6205,15248,130,189,0
18,18,6570,15169,104,183,0
19,19,6935,15111,121,179,0
20,20,7300,15054,113,170,0
