ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16274,54,148,0
1,1,365,16204,65,135,0
2,2,730,16133,73,144,0
3,3,1095,16068,94,159,0
4,4,1460,15988,80,160,0
5,5,1825,15930,78,136,0
6,6,2190,15885,95,140,0
7,7,2555,15854,98,129,0
8,8,2920,15822,92,124,0
9,9,3285,15748,94,168,0
10,10,3650,15709,110,149,0
11,11,4015,15658,114,165,0
12,12,4380,15611,105,152,0
13,13,4745,15551,103,163,0
14,14,5110,15486,98,163,0
15,15,5475,15409,105,182,0
16,16,5840,15345,128,192,0
17,17,6205,15303,121,163,0
18,18,6570,15254,142,191,0
19,19,6935,15189,122,187,0
20,20,7300,15119,134,204,0
