ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16240,18,146,0
1,1,365,16077,8,171,0
2,2,730,15943,14,148,0
3,3,1095,15813,16,146,0
4,4,1460,15694,17,136,0
5,5,1825,15554,15,155,0
6,6,2190,15427,16,143,0
7,7,2555,15295,13,145,0
8,8,2920,15156,17,156,0
9,9,3285,15018,10,148,0
10,10,3650,14856,12,174,0
11,11,4015,14721,19,154,0
12,12,4380,14607,18,132,0
13,13,4745,14467,19,159,0
14,14,5110,14328,18,157,0
15,15,5475,14165,14,177,0
16,16,5840,14003,21,183,0
17,17,6205,13852,23,174,0
18,18,6570,13697,22,177,0
19,19,6935,13529,18,186,0
20,20,7300,13356,15,188,0
