ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16260,49,156,0
1,1,365,16190,61,131,0
2,2,730,16110,72,152,0
3,3,1095,16055,90,145,0
4,4,1460,16007,79,127,0
5,5,1825,15951,67,123,0
6,6,2190,15884,80,147,0
7,7,2555,15858,100,126,0
8,8,2920,15785,90,163,0
9,9,3285,15741,97,141,0
10,10,3650,15697,114,158,0
11,11,4015,15649,122,170,0
12,12,4380,15559,108,198,0
13,13,4745,15486,112,185,0
14,14,5110,15425,104,165,0
15,15,5475,15366,112,171,0
16,16,5840,15277,102,191,0
17,17,6205,15227,127,177,0
18,18,6570,15185,129,171,0
19,19,6935,15113,122,194,0
20,20,7300,15026,124,211,0
