ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16272,53,148,0
1,1,365,16189,64,147,0
2,2,730,16126,84,147,0
3,3,1095,16054,65,137,0
4,4,1460,15977,85,162,0
5,5,1825,15955,91,113,0
6,6,2190,15920,92,127,0
7,7,2555,15859,90,151,0
8,8,2920,15809,104,154,0
9,9,3285,15749,94,154,0
10,10,3650,15705,110,154,0
11,11,4015,15652,114,167,0
12,12,4380,15603,105,154,0
13,13,4745,15558,119,164,0
14,14,5110,15493,95,160,0
15,15,5475,15469,141,165,0
16,16,5840,15408,114,175,0
17,17,6205,15370,142,180,0
18,18,6570,15324,137,183,0
19,19,6935,15238,109,195,0
20,20,7300,15144,128,222,0
