ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16270,51,150,0
1,1,365,16156,34,148,0
2,2,730,16044,47,159,0
3,3,1095,15947,40,137,0
4,4,1460,15837,28,138,0
5,5,1825,15738,38,137,0
6,6,2190,15618,38,158,0
7,7,2555,15516,41,143,0
8,8,2920,15380,33,169,0
9,9,3285,15267,33,146,0
10,10,3650,15144,40,163,0
11,11,4015,15031,44,157,0
12,12,4380,14881,30,180,0
13,13,4745,14756,33,158,0
14,14,5110,14623,38,171,0
15,15,5475,14498,39,164,0
16,16,5840,14370,36,164,0
17,17,6205,14238,58,190,0
18,18,6570,14087,54,205,0
19,19,6935,13943,54,198,0
20,20,7300,13798,40,185,0
