Ethnicity,Gender,Variables,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All,Male,60 - 64 Years,41095,42376,43111,44040,45026,46606,47365,47409,48562,51499,54023,57690,59769,58848,59623,57287,57981,66682,75256,83709,94796,102799,105781,110241,115217,119660,125130,130589,134928
All,Male,65 - 69 Years,29391,30427,31793,33415,35045,36600,37736,38577,39556,40484,42153,42805,42764,42892,45775,48270,51720,53773,54560,55350,53321,54115,62372,70525,78285,88697,96349,99351,103758
All,Male,70 - 74 Years,20513,21013,21579,22123,22938,23848,24993,26522,28188,29691,31122,31911,32621,32055,33149,34907,35870,36184,37508,40357,42887,46135,47890,48663,49438,47779,48691,56463,64029
All,Male,75 - 79 Years,13899,13879,13987,14091,14296,14624,14874,15296,15707,16561,17604,18975,20493,18112,20270,21812,23179,24370,25589,26745,28214,29123,29715,31164,33753,36126,38976,40524,41288
All,Male,80 - 84 Years,7028,7632,8075,8375,8565,8609,8561,8541,8614,8710,8872,9309,9929,10018,10562,11046,11601,12312,13200,14518,15532,16558,17496,18572,19515,20932,21884,22400,23779
All,Male,85 Years & Over,3176,3463,3853,4270,4613,4981,5327,5663,5938,6067,6113,6452,6792,6714,7121,7437,7871,8270,8704,9209,9622,10249,11088,11922,12930,14002,14954,15934,17005
All,Female,0 - 4 Years,108035,113605,118945,120288,119544,120057,118773,117424,116174,112306,108949,107458,105093,101350,99211,96851,94749,94535,94742,97089,95542,92364,91749,89775,88841,89723,91482,91612,90612
All,Female,5 - 9 Years,98905,98761,98430,101393,108016,111252,117031,122799,124652,124136,124374,123291,122475,119747,116281,114903,113772,111181,108436,107752,105460,102072,101291,101118,101202,100591,99083,98565,97430
All,Female,10 - 14 Years,95822,97121,97429,99399,99524,100914,100567,100332,103466,110255,113713,119517,125190,125712,124959,125594,124734,123887,123668,121097,119031,117098,113623,110244,107837,104987,101906,101368,101504
All,Female,15 - 19 Years,108091,105668,103391,98909,96815,96777,97998,98426,100655,100823,102284,101975,101587,103738,110346,114028,119898,125716,128856,129321,129747,128159,126755,125077,120823,118615,116860,113473,110418
All,Female,20 - 24 Years,117386,115835,116588,118754,119541,118633,115634,113188,108725,106600,105987,107200,108049,108004,107061,108342,108364,107883,111917,120804,123248,126824,131831,132855,131016,130634,128808,127247,125560
All,Female,25 - 29 Years,143189,143436,142504,140794,137814,135702,134508,135749,138254,139249,137876,135993,136465,130903,128976,129568,131683,132532,136359,142286,141340,135474,131526,131602,136355,138526,142745,147771,147873
All,Female,30 - 34 Years,146190,149194,150733,152122,153650,153919,154488,153820,153056,150555,148463,147726,149605,149011,150841,151950,152220,152962,150673,154564,155639,155608,154710,155608,153333,152772,149948,146962,147622
All,Female,35 - 39 Years,125570,132175,138410,143785,148324,151939,154799,156429,158207,160102,160584,161215,160624,155680,153029,152036,152319,154573,157332,162202,163706,162064,161718,158095,157070,157272,158445,158180,160059
All,Female,40 - 44 Years,101611,110538,113914,118404,123426,128663,135151,141414,146963,151380,154780,157423,158954,157393,159076,159475,160518,159820,158367,157219,156446,155936,157610,159890,161703,162295,160979,160843,157666
All,Female,45 - 49 Years,63647,63651,72772,82292,90865,103009,111862,115228,119723,124644,129756,136033,142011,144960,149062,152203,154612,155959,157229,159592,160222,160989,159803,158024,155339,153806,153666,155362,158027
All,Female,50 - 54 Years,58570,63081,66074,66814,66821,63936,63951,72903,82406,90966,102891,111419,114648,115823,120927,125989,132451,138414,143476,147779,150323,152706,153815,155199,156769,156626,157396,156428,155057
All,Female,55 - 59 Years,50192,50866,50648,51944,55309,57972,62504,65445,66084,66042,63127,63091,71854,79446,87689,99227,107586,110647,114478,119499,123874,129961,135438,140256,144076,147203,149276,150358,151862
All,Female,60 - 64 Years,41926,43353,44282,45023,46282,48721,49426,49357,50617,53871,56480,60816,63669,62876,63113,60288,60261,68819,77905,85987,97199,105361,108215,111913,116285,120833,126723,132062,136760
All,Female,65 - 69 Years,30505,31561,33212,35106,37394,39491,40853,41748,42562,43907,46152,46871,46823,46991,50232,52818,57117,59984,60625,60908,58190,58281,66507,75292,82913,93728,101671,104618,108343
All,Female,70 - 74 Years,24534,24855,25208,25865,26345,26749,27965,29654,31669,33901,35826,37137,38021,37947,39336,41638,42447,42447,43799,47071,49731,53938,56524,57083,57377,54852,55105,63031,71517
All,Female,75 - 79 Years,18437,18597,18815,18877,19110,19554,19783,20145,20716,21390,22040,23526,25337,24751,27605,29789,31234,32362,33412,34745,36964,37786,37960,39455,42541,45085,48979,51429,52039
All,Female,80 - 84 Years,10498,11225,11956,12575,12895,13080,13189,13318,13481,13635,14004,14588,15284,15765,16302,16833,17842,19207,20682,22625,24307,25587,26619,27627,28903,30853,31672,31941,33324
All,Female,85 Years & Over,6469,6876,7378,7982,8494,9136,9630,10273,10792,11115,11410,12065,12960,13393,14189,15143,15845,16677,17711,18604,19619,20873,22465,24134,25946,27661,29289,31001,32772
Malays,Both,0 - 4 Years,45311,46828,48318,48928,49201,48538,47638,46677,45667,44248,43047,42192,41171,39517,37979,36413,35058,33841,33158,32753,32203,31396,30868,30587,30899,31691,33088,34561,36169
Malays,Both,5 - 9 Years,37519,38962,40060,41382,43218,44980,46632,48223,49031,49419,48797,47920,46999,45742,44448,43548,42723,41669,40081,38566,36878,35310,34069,33379,32837,32359,31706,31212,30930
Malays,Both,10 - 14 Years,27717,29206,31027,33335,35278,37259,38642,39677,40938,42784,44598,46426,48174,49003,49402,48765,47871,46880,45907,44568,43589,42607,41516,39902,38395,36764,35267,34079,33438
Malays,Both,15 - 19 Years,31878,30585,29237,27868,27489,27696,29161,30910,33117,34968,36915,38288,39385,40662,42569,44534,46276,48047,48838,49273,48627,47713,46721,45767,44424,43584,42750,41735,40170
Malays,Both,20 - 24 Years,38608,36091,34126,33266,32363,32143,30886,29583,28268,27805,27913,29336,31126,32977,34888,36933,38296,39328,40694,42640,44509,46242,47824,48678,49165,48590,47798,46888,45986
Malays,Both,25 - 29 Years,46645,46559,45798,44139,41515,38589,36132,34263,33463,32643,32451,31443,30323,29001,28720,28975,30355,32071,34104,35946,37653,38729,39636,40804,42597,44466,46239,47947,48796
Malays,Both,30 - 34 Years,40477,42289,43997,45096,46196,46299,46170,45330,43703,41098,38241,36012,34427,33539,32956,32927,32064,30929,29848,29626,29807,31043,32541,34420,35985,37710,38943,39927,41104
Malays,Both,35 - 39 Years,29981,32295,34340,36482,38142,40094,41832,43496,44562,45633,45771,45718,45023,43208,40738,38159,35982,34377,33696,33155,33199,32186,31040,29830,29430,29582,30939,32504,34512
Malays,Both,40 - 44 Years,21110,23315,24128,25602,27835,29768,32028,34019,36071,37650,39481,41280,43018,43817,44973,44942,44989,44287,42898,40553,37969,35737,34049,33323,32636,32543,31701,30618,29543
Malays,Both,45 - 49 Years,12137,12200,14622,16720,18346,20949,23108,23878,25349,27492,29337,31530,33520,35344,36969,38750,40446,42028,43118,44231,44417,44347,43652,42210,39787,37208,35056,33451,32821
Malays,Both,50 - 54 Years,13018,13024,12912,12635,12544,11966,12003,14350,16393,17973,20467,22542,23335,24411,26614,28468,30681,32610,34623,36193,37936,39564,41001,42024,43038,43192,43212,42560,41235
Malays,Both,55 - 59 Years,12527,12947,12877,12879,12875,12449,12483,12379,12115,12024,11497,11490,13746,15505,17088,19560,21596,22363,23691,25737,27535,29593,31457,33371,34819,36525,38118,39667,40637
Malays,Both,60 - 64 Years,10934,10890,10575,10441,10752,11497,11909,11837,11858,11873,11464,11586,11526,11029,11067,10557,10645,12757,14715,16209,18608,20527,21207,22492,24415,26108,28147,29935,31742
Malays,Both,65 - 69 Years,7818,8205,8445,8780,9213,9481,9418,9193,9108,9451,10207,10588,10514,10321,10366,10068,10227,10271,10050,10080,9662,9706,11723,13546,14944,17131,18867,19630,20922
Malays,Both,70 - 74 Years,4683,4993,5392,5719,5957,6189,6525,6779,7177,7554,7757,7726,7607,7399,7775,8492,8867,8808,8864,8889,8714,8903,8896,8729,8841,8467,8571,10385,12011
Malays,Both,75 - 79 Years,2349,2323,2472,2651,2934,3259,3429,3724,3973,4195,4470,4773,5055,4632,5216,5465,5570,5591,5744,6127,6752,7051,7042,7097,7200,7118,7275,7333,7193
Malays,Both,80 - 84 Years,1116,1177,1373,1490,1436,1376,1329,1436,1588,1738,1918,2071,2363,2512,2652,2796,2894,3039,3230,3558,3717,3816,3865,4073,4386,4842,5087,5012,5131
Malays,Both,85 Years & Over,510,508,591,673,695,729,750,905,969,932,876,867,1048,1172,1269,1370,1438,1656,1851,1947,2093,2167,2412,2605,2859,3043,3124,3266,3484
Malays,Male,0 - 4 Years,23172,24013,24761,25142,25331,25041,24517,24151,23557,22910,22252,21867,21372,20593,19602,18856,18043,17417,16985,16819,16496,16114,15748,15676,15869,16276,16992,17790,18624
Malays,Male,5 - 9 Years,19356,20075,20553,21168,22106,23010,23935,24737,25184,25441,25183,24655,24318,23592,23027,22490,22155,21636,20866,19867,19060,18163,17513,17088,16864,16575,16267,15933,15878
