 Subject: Death and Life Expectancy 
 Topic : Death and Life Expectancy 
" Title  : M810141 - Age-specific Death Rates, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Per Thousand Residents
     35 - 39 Years , 3.4 , 3.1 , 3.1 , 2.8 , 2.6 , 3 , 2.9 , 2.8 , 2.7 , 2.7 , 2.7 , 2.7 , 2.3 , 2.3 , 2.4 , 2.3 , 2.4 , 2.3 , 2.1 , 1.8 , 1.6 , 1.6 , 1.6 , 1.4 , 1.7 , 1.6 , 1.4 , 1.5 , 1.6 , 1.3 , 1.4 , 1.2 , 1.2 , 1 , 1.3 , 1.3 , 1.2 , 1 , 1.1 , 1 , 1.3 , 1 , 1.1 , 0.9 , 0.9 , 1 , 0.9 , 0.9 , 0.9 , 0.8 , 0.8 , 0.7 , 0.6 , 0.6 , 0.7 , 0.7 , 0.6 , 0.7 , 0.6 ,
     40 - 44 Years , 5.4 , 5.1 , 4.9 , 4.7 , 5.3 , 4.4 , 3.4 , 4.7 , 4.6 , 4.4 , 4.1 , 4.5 , 4 , 4.4 , 3.8 , 4.1 , 3.9 , 3.6 , 3.4 , 3.6 , 2.9 , 2.6 , 2.7 , 2.7 , 2.6 , 2.3 , 2.4 , 2.2 , 2.4 , 2.3 , 2.1 , 1.9 , 2.1 , 2 , 2 , 1.8 , 2 , 1.9 , 1.7 , 1.7 , 1.8 , 1.6 , 1.6 , 1.6 , 1.6 , 1.5 , 1.6 , 1.5 , 1.4 , 1.2 , 1.3 , 1 , 1.2 , 1.2 , 1.3 , 1.1 , 1.1 , 1.1 , 0.9 ,
     45 - 49 Years , 8.4 , 8.2 , 8.4 , 7.5 , 7.8 , 7.3 , 7.5 , 7.1 , 7.4 , 6.7 , 7.2 , 7.4 , 7.3 , 7 , 6.6 , 7.4 , 6.6 , 6.5 , 6.3 , 5.8 , 5.9 , 5.5 , 5.2 , 4.7 , 5.3 , 4.7 , 4 , 4 , 3.7 , 3.6 , 4 , 3.4 , 3.7 , 3.4 , 3.2 , 3.6 , 3.1 , 2.6 , 2.8 , 2.5 , 2.7 , 2.5 , 2.7 , 2.7 , 2.4 , 2.4 , 2.3 , 2.3 , 2.4 , 2 , 2.2 , 2.2 , 1.9 , 2 , 1.7 , 1.9 , 1.7 , 1.7 , 1.8 ,
     50 - 54 Years , 15.6 , 15.3 , 14.6 , 14.3 , 14.9 , 12.1 , 12.7 , 12.4 , 12.8 , 12 , 12.4 , 13.2 , 12.3 , 12.3 , 12.3 , 11.6 , 11 , 11.6 , 10.4 , 11.3 , 9.7 , 10 , 9.2 , 9.7 , 9.2 , 8.3 , 8.4 , 8.1 , 7.9 , 7.8 , 6.8 , 6.7 , 6.1 , 6.1 , 6 , 5.8 , 5.9 , 5.3 , 4.9 , 4.7 , 4.2 , 4.7 , 4.3 , 4.2 , 4.2 , 4.4 , 4 , 4.1 , 4 , 3.9 , 3.9 , 3.6 , 3.1 , 3.4 , 3 , 3.1 , 3.1 , 3.1 , 2.8 ,
     55 - 59 Years , 24.1 , 21.9 , 22.6 , 24.9 , 22.6 , 22.9 , 22.8 , 21 , 22.6 , 19 , 20.3 , 19.6 , 19.5 , 19.9 , 18.7 , 19.3 , 19.4 , 18.8 , 17.5 , 19 , 15.3 , 16.3 , 16 , 15.2 , 15.9 , 15.9 , 14.2 , 14 , 13.6 , 14 , 12 , 12.5 , 10.9 , 10.5 , 10.5 , 10.7 , 9.7 , 9.2 , 9.1 , 8.3 , 7.9 , 8.2 , 8.4 , 7.6 , 7.2 , 7.5 , 6.6 , 6.5 , 6.6 , 6 , 5.7 , 5.9 , 5.8 , 5.7 , 5.8 , 5.4 , 5.3 , 4.8 , 5 ,
     60 - 64 Years , 41.2 , 42.3 , 42.5 , 41.4 , 39.2 , 35.1 , 36.5 , 38.2 , 37.9 , 32.4 , 33.9 , 34.5 , 33.3 , 33 , 32 , 28.6 , 30.9 , 31.1 , 28.5 , 29.7 , 26.8 , 26 , 24.9 , 24.7 , 23.9 , 23.2 , 21 , 22.2 , 20.1 , 21.2 , 20.8 , 20.6 , 20.3 , 18.4 , 17.9 , 18 , 17.9 , 16.7 , 16.2 , 16 , 14.4 , 13.3 , 13.1 , 13.3 , 12.3 , 11.7 , 11.6 , 11.2 , 10.6 , 9.9 , 9.4 , 8.9 , 9.7 , 8.8 , 8.4 , 8.5 , 8.2 , 8.2 , 8.2 ,
     65 - 69 Years , 63.4 , 56.9 , 61.5 , 56.9 , 56.7 , 58.6 , 55.7 , 57.3 , 58.7 , 51.7 , 51.2 , 55.5 , 52.8 , 52.9 , 46.4 , 49.4 , 45.9 , 44.8 , 44.5 , 43.5 , 42.3 , 42.2 , 37.6 , 37.8 , 38.3 , 35.3 , 34.9 , 30.6 , 32.7 , 33 , 30.1 , 30.2 , 31 , 29.2 , 30.7 , 29.6 , 28.1 , 27 , 27.4 , 25.1 , 24.5 , 23.5 , 22.6 , 23 , 21.2 , 21.7 , 18.3 , 19.1 , 18.3 , 16.3 , 16.6 , 16.4 , 15.2 , 14.5 , 13.8 , 13.9 , 13.3 , 12.9 , 12.5 ,
     70 - 74 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 59.1 , 59.3 , 60.1 , 60.3 , 50.6 , 56.5 , 50.3 , 49.8 , 49.3 , 53.7 , 46.9 , 45.9 , 46.8 , 44.9 , 45.4 , 46.6 , 43.1 , 40.9 , 41.8 , 37.8 , 36.4 , 36.3 , 34 , 37.3 , 34.8 , 32 , 30.7 , 32.2 , 30.3 , 28.6 , 27.1 , 26 , 26.5 , 26 , 24.4 , 23.9 , 22.5 , 22.9 , 22.4 ,
     75 Years & Over , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 111.3 , 105.7 , 110.4 , 110.2 , 105.8 , 99.1 , 90.8 , 90.7 , 92 , 91.6 , 85.9 , 87.8 , 89.4 , 87 , 91.2 , 97.3 , 93.8 , 88.5 , 89.7 , 89.8 , 89 , 80.7 , 79.7 , 88.8 , 82.5 , 78 , 78.1 , 78.7 , 73.3 , 70.7 , 71.4 , 69.7 , 67.7 , 67.7 , 66.8 , 64.2 , 63.5 , 63.9 , 61.8 ,
     70 Years & Over , 121.1 , 121.7 , 123.9 , 121.9 , 131.6 , 136.3 , 131.9 , 144.8 , 135.1 , 127.2 , 102.7 , 99.1 , 94.4 , 97 , 96.8 , 95.1 , 93.1 , 92 , 90.3 , 92.2 , 82 , 79.5 , 82.3 , 82.9 , 76.2 , 76.9 , 70.6 , 71 , 71.9 , 74 , 68 , 68.7 , 70 , 68 , 70.4 , 74.1 , 70.2 , 66 , 66.6 , 64.5 , 63.3 , 59.4 , 58.4 , 64.1 , 60.3 , 56.6 , 56.5 , 58 , 54.3 , 52 , 51.7 , 49.9 , 49.1 , 49.3 , 48.7 , 48 , 47.4 , 46.8 , 44.6 ,
     75 - 79 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 91.6 , na , na , na , na , na , na , na , na , na , 67.3 , 67.6 , 68.8 , 70 , 70 , 74.2 , 71.1 , 67.4 , 64.9 , 64.2 , 61.6 , 54.6 , 53.7 , 65.5 , 57.3 , 51.3 , 53.2 , 52.1 , 48.8 , 46.9 , 45.2 , 47.2 , 42.3 , 43.3 , 41 , 41 , 38.4 , 37.4 , 35.9 ,
     80 - 84 Years , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 134.4 , na , na , na , na , na , na , na , na , na , 97.2 , 103.1 , 97.6 , 89.9 , 100.6 , 105.2 , 104 , 97.8 , 103.4 , 96.2 , 103 , 90.2 , 90.3 , 89.6 , 87.9 , 87.5 , 84.5 , 86.7 , 79.5 , 73.4 , 76.4 , 71.3 , 69.9 , 68.2 , 70.6 , 63.7 , 66.6 , 65.5 , 62.8 ,
     85 Years & Over , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 180.3 , na , na , na , na , na , na , na , na , na , 142.3 , 135.1 , 147.1 , 137.5 , 139.6 , 151.4 , 141 , 131.6 , 135.2 , 150.5 , 147.7 , 143.5 , 142.5 , 150.1 , 146.5 , 142.3 , 141.9 , 145.3 , 135.8 , 135.6 , 140 , 130.8 , 132.3 , 131 , 128.5 , 124.8 , 124.2 , 128.9 , 123.4 ,
