ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,60,149,0
1,1,365,16187,62,154,0
2,2,730,16108,60,139,0
3,3,1095,16018,57,147,0
4,4,1460,15930,50,138,0
5,5,1825,15840,56,146,0
6,6,2190,15751,49,138,0
7,7,2555,15661,45,135,0
8,8,2920,15560,47,148,0
9,9,3285,15470,48,138,0
10,10,3650,15366,38,142,0
11,11,4015,15258,43,151,0
12,12,4380,15128,50,180,0
13,13,4745,15010,55,173,0
14,14,5110,14880,45,175,0
15,15,5475,14762,45,163,0
16,16,5840,14652,58,168,0
17,17,6205,14508,49,193,0
18,18,6570,14376,44,176,0
19,19,6935,14230,48,194,0
20,20,7300,14123,58,165,0
