ind,time,age,male,female
0,0,0,24,24
1,0,1,133,148
2,0,2,151,137
3,0,3,126,153
4,0,4,145,142
5,0,5,146,160
6,0,6,182,148
7,0,7,137,127
8,0,8,141,135
9,0,9,166,141
10,0,10,137,145
11,0,11,156,129
12,0,12,150,144
13,0,13,165,140
14,0,14,130,142
15,0,15,125,132
16,0,16,135,143
17,0,17,132,140
18,0,18,129,143
19,0,19,137,138
20,0,20,128,135
21,0,21,70,73
22,0,22,89,71
23,0,23,74,71
24,0,24,84,74
25,0,25,86,88
26,0,26,85,73
27,0,27,86,96
28,0,28,98,90
29,0,29,82,113
30,0,30,90,89
31,0,31,72,93
32,0,32,99,117
33,0,33,86,83
34,0,34,126,99
35,0,35,95,107
36,0,36,109,123
37,0,37,121,102
38,0,38,105,107
39,0,39,110,99
40,0,40,103,103
41,0,41,111,129
42,0,42,112,124
43,0,43,123,94
44,0,44,106,97
45,0,45,88,100
46,0,46,112,111
47,0,47,101,92
48,0,48,98,100
49,0,49,110,86
50,0,50,88,81
51,0,51,156,166
52,0,52,153,123
53,0,53,128,133
54,0,54,136,125
55,0,55,110,111
56,0,56,108,107
57,0,57,100,95
58,0,58,100,111
59,0,59,104,100
60,0,60,103,84
61,0,61,79,74
62,0,62,68,63
63,0,63,64,76
64,0,64,64,74
65,0,65,66,80
66,0,66,66,59
67,0,67,53,69
68,0,68,66,60
69,0,69,52,57
70,0,70,49,62
71,0,71,58,50
72,0,72,39,38
73,0,73,41,52
74,0,74,32,46
75,0,75,36,33
76,0,76,32,42
77,0,77,32,36
78,0,78,25,30
79,0,79,24,23
80,0,80,26,30
81,0,81,14,17
82,0,82,22,22
83,0,83,15,16
84,0,84,19,20
85,0,85,15,17
86,0,86,12,13
87,0,87,15,13
88,0,88,12,9
89,0,89,11,6
90,0,90,10,11
91,0,91,6,8
92,0,92,5,7
93,0,93,5,8
94,0,94,7,5
95,0,95,5,8
96,0,96,5,4
97,0,97,3,4
98,0,98,3,5
99,0,99,1,2
100,0,100,2,3
101,0,101,0,0
102,1,0,22,31
103,1,1,24,24
104,1,2,133,148
105,1,3,151,137
106,1,4,126,153
107,1,5,145,142
108,1,6,146,160
109,1,7,182,148
110,1,8,137,127
111,1,9,141,135
112,1,10,166,141
113,1,11,137,145
114,1,12,156,128
115,1,13,150,144
116,1,14,165,140
117,1,15,130,142
118,1,16,125,132
119,1,17,135,142
120,1,18,132,140
121,1,19,128,143
122,1,20,137,138
123,1,21,128,135
124,1,22,70,73
125,1,23,89,71
126,1,24,74,71
127,1,25,84,74
128,1,26,86,88
129,1,27,85,73
130,1,28,86,96
131,1,29,98,90
132,1,30,82,113
133,1,31,90,89
134,1,32,72,93
135,1,33,99,117
136,1,34,86,82
137,1,35,125,98
138,1,36,94,107
139,1,37,109,123
140,1,38,121,102
141,1,39,105,107
142,1,40,110,99
143,1,41,103,103
144,1,42,111,129
145,1,43,112,124
146,1,44,121,94
147,1,45,106,97
148,1,46,88,100
149,1,47,112,111
150,1,48,101,92
151,1,49,98,100
152,1,50,110,86
153,1,51,86,81
154,1,52,156,166
155,1,53,152,123
156,1,54,128,133
157,1,55,135,125
158,1,56,110,111
159,1,57,107,106
160,1,58,99,95
161,1,59,98,111
162,1,60,102,100
163,1,61,100,83
164,1,62,77,74
165,1,63,67,63
166,1,64,64,75
167,1,65,61,73
168,1,66,66,79
169,1,67,62,58
170,1,68,53,67
171,1,69,64,58
172,1,70,50,57
173,1,71,45,62
174,1,72,54,49
175,1,73,38,37
176,1,74,38,49
177,1,75,30,45
178,1,76,35,32
179,1,77,30,40
180,1,78,32,31
181,1,79,22,30
182,1,80,22,22
183,1,81,24,29
184,1,82,14,14
185,1,83,20,20
186,1,84,13,15
187,1,85,14,20
188,1,86,13,16
189,1,87,11,9
190,1,88,13,10
191,1,89,10,5
192,1,90,10,4
193,1,91,9,8
194,1,92,6,6
195,1,93,5,5
196,1,94,5,5
197,1,95,7,4
198,1,96,4,8
199,1,97,4,4
200,1,98,1,4
201,1,99,1,5
202,1,100,1,2
203,1,101,0,0
204,2,0,33,32
205,2,1,22,31
206,2,2,24,24
207,2,3,133,148
208,2,4,151,137
209,2,5,126,153
210,2,6,144,142
211,2,7,146,160
212,2,8,182,148
213,2,9,137,127
214,2,10,141,135
215,2,11,166,141
216,2,12,137,145
217,2,13,156,128
218,2,14,150,144
219,2,15,165,140
220,2,16,130,142
221,2,17,125,131
222,2,18,135,142
223,2,19,132,140
224,2,20,128,143
225,2,21,137,138
226,2,22,128,135
227,2,23,70,73
228,2,24,89,71
229,2,25,74,71
230,2,26,84,74
231,2,27,86,88
232,2,28,85,73
233,2,29,86,96
234,2,30,98,90
235,2,31,82,113
236,2,32,90,89
237,2,33,72,92
238,2,34,99,117
239,2,35,86,82
240,2,36,125,98
241,2,37,94,107
242,2,38,109,123
243,2,39,121,102
244,2,40,105,107
245,2,41,110,98
246,2,42,103,103
247,2,43,111,129
248,2,44,111,124
249,2,45,121,94
250,2,46,106,96
251,2,47,88,100
252,2,48,112,110
253,2,49,100,91
254,2,50,98,100
255,2,51,110,86
256,2,52,86,81
257,2,53,155,165
258,2,54,151,123
259,2,55,128,132
260,2,56,134,125
261,2,57,108,110
262,2,58,106,105
263,2,59,97,95
264,2,60,96,110
265,2,61,100,100
266,2,62,96,83
267,2,63,75,71
268,2,64,65,61
269,2,65,63,73
270,2,66,60,73
271,2,67,65,78
272,2,68,60,57
273,2,69,52,66
274,2,70,64,58
275,2,71,47,54
276,2,72,44,59
277,2,73,53,47
278,2,74,37,36
279,2,75,36,47
280,2,76,30,45
281,2,77,35,31
282,2,78,28,39
283,2,79,30,30
284,2,80,20,26
285,2,81,21,22
286,2,82,20,26
287,2,83,14,12
288,2,84,19,19
289,2,85,11,10
290,2,86,13,16
291,2,87,12,12
292,2,88,9,6
293,2,89,13,8
294,2,90,10,4
295,2,91,8,2
296,2,92,7,6
297,2,93,6,6
298,2,94,4,5
299,2,95,5,5
300,2,96,6,3
301,2,97,4,6
302,2,98,4,1
303,2,99,1,2
304,2,100,1,3
305,2,101,0,0
306,3,0,28,30
307,3,1,33,32
308,3,2,22,31
309,3,3,24,24
310,3,4,133,148
311,3,5,151,136
312,3,6,126,153
313,3,7,144,142
314,3,8,146,159
315,3,9,182,148
316,3,10,137,127
317,3,11,141,135
318,3,12,166,141
319,3,13,137,145
320,3,14,156,127
321,3,15,150,143
322,3,16,165,140
323,3,17,130,142
324,3,18,125,131
325,3,19,135,142
326,3,20,132,140
327,3,21,127,143
328,3,22,137,138
329,3,23,128,135
330,3,24,70,73
331,3,25,89,71
332,3,26,74,71
333,3,27,84,74
334,3,28,86,88
335,3,29,85,72
336,3,30,86,96
337,3,31,98,90
338,3,32,82,113
339,3,33,90,89
340,3,34,72,92
341,3,35,99,117
342,3,36,86,82
343,3,37,125,98
344,3,38,94,107
345,3,39,109,123
346,3,40,120,102
347,3,41,105,107
348,3,42,110,98
349,3,43,102,103
350,3,44,111,129
351,3,45,111,124
352,3,46,121,94
353,3,47,106,96
354,3,48,87,100
355,3,49,112,110
356,3,50,100,91
357,3,51,98,99
358,3,52,109,86
359,3,53,83,81
360,3,54,155,165
361,3,55,150,123
362,3,56,126,130
363,3,57,134,125
364,3,58,107,105
365,3,59,104,105
366,3,60,97,95
367,3,61,94,110
368,3,62,99,99
369,3,63,95,83
370,3,64,74,68
371,3,65,65,61
372,3,66,62,72
373,3,67,58,73
374,3,68,65,77
375,3,69,58,57
376,3,70,52,66
377,3,71,62,57
378,3,72,44,53
379,3,73,40,55
380,3,74,49,46
381,3,75,37,32
382,3,76,34,45
383,3,77,30,44
384,3,78,31,29
385,3,79,25,36
386,3,80,30,27
387,3,81,19,23
388,3,82,16,21
389,3,83,19,23
390,3,84,13,12
391,3,85,16,18
392,3,86,10,7
393,3,87,12,14
394,3,88,12,11
395,3,89,7,6
396,3,90,11,7
397,3,91,10,4
398,3,92,7,2
399,3,93,6,4
400,3,94,6,4
401,3,95,2,5
402,3,96,4,3
403,3,97,4,2
404,3,98,3,6
405,3,99,4,1
406,3,100,1,1
407,3,101,0,0
408,4,0,23,23
409,4,1,28,30
410,4,2,33,32
411,4,3,22,31
412,4,4,24,24
413,4,5,133,148
414,4,6,151,136
415,4,7,126,153
416,4,8,144,142
417,4,9,146,159
418,4,10,182,148
419,4,11,137,127
420,4,12,141,135
421,4,13,166,141
422,4,14,137,145
423,4,15,156,127
424,4,16,150,143
425,4,17,165,140
426,4,18,130,142
427,4,19,125,131
428,4,20,135,142
429,4,21,131,140
430,4,22,127,143
431,4,23,136,138
432,4,24,128,135
433,4,25,70,72
434,4,26,89,71
435,4,27,74,71
436,4,28,84,74
437,4,29,85,88
438,4,30,85,72
439,4,31,86,96
440,4,32,98,90
441,4,33,82,112
442,4,34,90,89
443,4,35,72,92
444,4,36,99,117
445,4,37,86,82
446,4,38,125,98
447,4,39,94,106
448,4,40,109,123
449,4,41,120,102
450,4,42,105,106
451,4,43,110,98
452,4,44,102,103
453,4,45,109,129
454,4,46,111,124
455,4,47,121,94
456,4,48,106,96
457,4,49,87,100
458,4,50,112,110
459,4,51,100,91
460,4,52,98,98
461,4,53,108,86
462,4,54,83,81
463,4,55,153,165
464,4,56,149,122
465,4,57,125,130
466,4,58,132,125
467,4,59,106,103
468,4,60,104,105
469,4,61,97,95
470,4,62,94,110
471,4,63,94,97
472,4,64,93,82
473,4,65,74,67
474,4,66,61,60
475,4,67,61,71
476,4,68,57,73
477,4,69,61,77
478,4,70,57,57
479,4,71,49,64
480,4,72,58,56
481,4,73,43,51
482,4,74,39,55
483,4,75,47,46
484,4,76,32,32
485,4,77,33,45
486,4,78,27,41
487,4,79,26,27
488,4,80,23,33
489,4,81,29,25
490,4,82,16,23
491,4,83,14,21
492,4,84,19,21
493,4,85,13,10
494,4,86,12,15
495,4,87,8,5
496,4,88,12,11
497,4,89,11,9
498,4,90,4,5
499,4,91,10,7
500,4,92,9,2
501,4,93,6,2
502,4,94,4,3
503,4,95,4,4
504,4,96,2,5
505,4,97,2,3
506,4,98,3,2
507,4,99,3,6
508,4,100,4,1
509,4,101,0,0
510,5,0,25,31
511,5,1,23,23
512,5,2,28,30
513,5,3,33,32
514,5,4,22,31
515,5,5,24,23
516,5,6,133,148
517,5,7,151,136
518,5,8,126,153
519,5,9,144,142
520,5,10,146,159
521,5,11,182,148
522,5,12,137,127
523,5,13,141,135
524,5,14,166,141
525,5,15,136,145
526,5,16,156,127
527,5,17,150,143
528,5,18,165,140
529,5,19,130,142
530,5,20,125,131
531,5,21,134,142
532,5,22,130,140
533,5,23,126,143
534,5,24,136,138
535,5,25,128,135
536,5,26,70,72
537,5,27,89,71
538,5,28,74,71
539,5,29,84,73
540,5,30,85,88
541,5,31,85,72
542,5,32,86,96
543,5,33,98,90
544,5,34,82,112
545,5,35,90,89
546,5,36,72,92
547,5,37,99,117
548,5,38,86,81
549,5,39,125,98
550,5,40,94,106
551,5,41,108,123
552,5,42,120,102
553,5,43,105,105
554,5,44,110,98
555,5,45,101,102
556,5,46,109,129
557,5,47,111,124
558,5,48,121,94
559,5,49,105,95
560,5,50,87,98
561,5,51,111,109
562,5,52,99,90
563,5,53,96,98
564,5,54,108,86
565,5,55,83,81
