ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16260,48,155,0
1,1,365,16205,81,136,0
2,2,730,16133,84,156,0
3,3,1095,16073,86,146,0
4,4,1460,15989,74,158,0
5,5,1825,15953,80,116,0
6,6,2190,15870,89,172,0
7,7,2555,15831,96,135,0
8,8,2920,15815,129,145,0
9,9,3285,15751,94,158,0
10,10,3650,15696,100,155,0
11,11,4015,15634,108,170,0
12,12,4380,15585,103,152,0
13,13,4745,15521,116,180,0
14,14,5110,15512,136,145,0
15,15,5475,15468,121,165,0
16,16,5840,15378,117,207,0
17,17,6205,15328,125,175,0
18,18,6570,15304,146,170,0
19,19,6935,15260,132,176,0
20,20,7300,15217,150,193,0
