ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16194,64,149,0
2,2,730,16129,70,135,0
3,3,1095,16072,82,139,0
4,4,1460,16027,87,132,0
5,5,1825,15935,76,168,0
6,6,2190,15854,87,168,0
7,7,2555,15775,77,156,0
8,8,2920,15715,99,159,0
9,9,3285,15662,93,146,0
10,10,3650,15605,109,166,0
11,11,4015,15571,116,150,0
12,12,4380,15532,107,146,0
13,13,4745,15479,126,179,0
14,14,5110,15443,120,156,0
15,15,5475,15397,125,171,0
16,16,5840,15379,143,161,0
17,17,6205,15326,129,182,0
18,18,6570,15273,137,190,0
19,19,6935,15246,160,187,0
20,20,7300,15178,141,209,0
