ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16242,20,146,0
1,1,365,16104,9,147,0
2,2,730,15976,12,140,0
3,3,1095,15860,14,130,0
4,4,1460,15724,12,148,0
5,5,1825,15589,9,144,0
6,6,2190,15447,8,150,0
7,7,2555,15297,19,169,0
8,8,2920,15172,13,138,0
9,9,3285,15017,9,164,0
10,10,3650,14887,8,138,0
11,11,4015,14728,17,176,0
12,12,4380,14582,14,160,0
13,13,4745,14447,11,146,0
14,14,5110,14297,20,170,0
15,15,5475,14149,14,162,0
16,16,5840,14004,22,167,0
17,17,6205,13822,15,197,0
18,18,6570,13661,18,179,0
19,19,6935,13471,19,209,0
20,20,7300,13281,21,211,0
