ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16278,52,141,0
1,1,365,16184,50,144,0
2,2,730,16102,80,162,0
3,3,1095,16033,60,129,0
4,4,1460,15982,86,137,0
5,5,1825,15907,75,150,0
6,6,2190,15849,95,153,0
7,7,2555,15797,102,154,0
8,8,2920,15746,96,147,0
9,9,3285,15711,109,144,0
10,10,3650,15649,101,163,0
11,11,4015,15585,116,180,0
12,12,4380,15552,118,151,0
13,13,4745,15528,125,149,0
14,14,5110,15518,150,160,0
15,15,5475,15501,137,154,0
16,16,5840,15445,130,186,0
17,17,6205,15438,152,159,0
18,18,6570,15407,150,181,0
19,19,6935,15355,137,189,0
20,20,7300,15315,146,186,0
