ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16295,72,144,0
1,1,365,16212,67,150,0
2,2,730,16130,71,153,0
3,3,1095,16068,64,126,0
4,4,1460,15994,81,155,0
5,5,1825,15930,70,134,0
6,6,2190,15853,87,164,0
7,7,2555,15802,65,116,0
8,8,2920,15741,101,162,0
9,9,3285,15667,87,161,0
10,10,3650,15611,117,173,0
11,11,4015,15554,110,167,0
12,12,4380,15505,117,166,0
13,13,4745,15492,135,148,0
14,14,5110,15461,129,160,0
15,15,5475,15413,133,181,0
16,16,5840,15357,129,185,0
17,17,6205,15305,134,186,0
18,18,6570,15232,125,198,0
19,19,6935,15205,136,163,0
20,20,7300,15173,133,165,0
