ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16309,74,133,0
1,1,365,16220,61,150,0
2,2,730,16167,70,123,0
3,3,1095,16086,79,160,0
4,4,1460,16012,71,145,0
5,5,1825,15941,66,137,0
6,6,2190,15901,81,121,0
7,7,2555,15838,75,138,0
8,8,2920,15768,76,146,0
9,9,3285,15701,93,160,0
10,10,3650,15645,89,145,0
11,11,4015,15608,101,138,0
12,12,4380,15554,109,163,0
13,13,4745,15481,94,167,0
14,14,5110,15440,125,166,0
15,15,5475,15366,95,169,0
16,16,5840,15313,128,181,0
17,17,6205,15265,140,188,0
18,18,6570,15197,117,185,0
19,19,6935,15130,118,185,0
20,20,7300,15069,125,186,0
