ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16276,48,141,0
1,1,365,16211,64,129,0
2,2,730,16144,68,135,0
3,3,1095,16095,86,135,0
4,4,1460,15988,62,169,0
5,5,1825,15930,78,136,0
6,6,2190,15863,76,143,0
7,7,2555,15791,82,154,0
8,8,2920,15741,92,142,0
9,9,3285,15671,84,154,0
10,10,3650,15607,96,160,0
11,11,4015,15541,91,157,0
12,12,4380,15491,110,160,0
13,13,4745,15456,118,153,0
14,14,5110,15408,121,169,0
15,15,5475,15322,100,186,0
16,16,5840,15259,112,175,0
17,17,6205,15192,124,191,0
18,18,6570,15131,131,192,0
19,19,6935,15085,135,181,0
20,20,7300,14995,110,200,0
