ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16288,60,140,0
1,1,365,16205,84,167,0
2,2,730,16113,60,152,0
3,3,1095,16057,68,124,0
4,4,1460,15988,62,131,0
5,5,1825,15908,63,143,0
6,6,2190,15852,69,125,0
7,7,2555,15795,73,130,0
8,8,2920,15745,87,137,0
9,9,3285,15683,73,135,0
10,10,3650,15615,84,152,0
11,11,4015,15522,81,174,0
12,12,4380,15437,86,171,0
13,13,4745,15363,83,157,0
14,14,5110,15284,84,163,0
15,15,5475,15165,76,195,0
16,16,5840,15075,89,179,0
17,17,6205,14993,90,172,0
18,18,6570,14898,109,204,0
19,19,6935,14840,112,170,0
20,20,7300,14757,103,186,0
