ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16240,12,140,0
1,1,365,16078,11,173,0
2,2,730,15940,14,152,0
3,3,1095,15823,10,127,0
4,4,1460,15667,12,168,0
5,5,1825,15529,11,149,0
6,6,2190,15405,15,139,0
7,7,2555,15275,9,139,0
8,8,2920,15140,16,151,0
9,9,3285,15005,12,147,0
10,10,3650,14862,17,160,0
11,11,4015,14736,13,139,0
12,12,4380,14601,15,150,0
13,13,4745,14443,8,166,0
14,14,5110,14303,20,160,0
15,15,5475,14126,15,192,0
16,16,5840,13978,18,166,0
17,17,6205,13818,11,171,0
18,18,6570,13629,10,199,0
19,19,6935,13466,20,183,0
20,20,7300,13297,14,183,0
