ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16299,81,150,0
1,1,365,16207,63,155,0
2,2,730,16137,82,152,0
3,3,1095,16080,79,136,0
4,4,1460,16033,87,134,0
5,5,1825,15963,76,146,0
6,6,2190,15899,85,149,0
7,7,2555,15838,74,135,0
8,8,2920,15787,101,152,0
9,9,3285,15717,99,169,0
10,10,3650,15659,96,154,0
11,11,4015,15600,91,150,0
12,12,4380,15550,108,158,0
13,13,4745,15514,113,149,0
14,14,5110,15475,120,159,0
15,15,5475,15415,123,183,0
16,16,5840,15375,129,169,0
17,17,6205,15335,109,149,0
18,18,6570,15280,125,180,0
19,19,6935,15236,136,180,0
20,20,7300,15179,147,204,0
