ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16286,59,140,0
1,1,365,16208,71,149,0
2,2,730,16131,82,159,0
3,3,1095,16067,77,141,0
4,4,1460,16016,84,135,0
5,5,1825,15956,82,142,0
6,6,2190,15897,92,151,0
7,7,2555,15835,77,139,0
8,8,2920,15784,104,155,0
9,9,3285,15765,119,138,0
10,10,3650,15733,107,139,0
11,11,4015,15683,109,159,0
12,12,4380,15638,115,160,0
13,13,4745,15597,122,163,0
14,14,5110,15518,111,190,0
15,15,5475,15461,129,186,0
16,16,5840,15411,123,173,0
17,17,6205,15377,138,172,0
18,18,6570,15325,133,185,0
19,19,6935,15251,126,200,0
20,20,7300,15203,140,188,0
