ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16275,58,150,0
1,1,365,16215,76,136,0
2,2,730,16151,73,137,0
3,3,1095,16135,104,120,0
4,4,1460,16099,89,125,0
5,5,1825,16042,81,138,0
6,6,2190,16010,103,135,0
7,7,2555,15969,100,141,0
8,8,2920,15919,104,154,0
9,9,3285,15863,110,166,0
10,10,3650,15800,100,163,0
11,11,4015,15769,127,158,0
12,12,4380,15739,127,157,0
13,13,4745,15707,116,148,0
14,14,5110,15627,101,181,0
15,15,5475,15583,135,179,0
16,16,5840,15544,125,164,0
17,17,6205,15502,124,166,0
18,18,6570,15433,113,182,0
19,19,6935,15404,140,169,0
20,20,7300,15317,110,197,0
