ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16295,77,150,0
1,1,365,16280,106,121,0
2,2,730,16239,102,143,0
3,3,1095,16222,111,128,0
4,4,1460,16193,116,145,0
5,5,1825,16165,105,133,0
6,6,2190,16141,120,144,0
7,7,2555,16108,116,149,0
8,8,2920,16087,118,139,0
9,9,3285,16032,119,174,0
10,10,3650,16047,163,148,0
11,11,4015,16034,136,149,0
12,12,4380,16019,147,162,0
13,13,4745,15995,152,176,0
14,14,5110,15987,150,158,0
15,15,5475,15969,157,175,0
16,16,5840,15941,159,187,0
17,17,6205,15895,154,200,0
18,18,6570,15855,173,213,0
19,19,6935,15848,164,171,0
20,20,7300,15849,178,177,0
