ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16265,52,154,0
1,1,365,16186,74,153,0
2,2,730,16128,83,141,0
3,3,1095,16063,67,132,0
4,4,1460,15998,78,143,0
5,5,1825,15956,102,144,0
6,6,2190,15880,77,153,0
7,7,2555,15818,93,155,0
8,8,2920,15756,103,165,0
9,9,3285,15683,94,167,0
10,10,3650,15635,101,149,0
11,11,4015,15581,120,174,0
12,12,4380,15535,108,154,0
13,13,4745,15481,115,169,0
14,14,5110,15409,113,185,0
15,15,5475,15352,116,173,0
16,16,5840,15289,120,183,0
17,17,6205,15236,139,192,0
18,18,6570,15194,118,160,0
19,19,6935,15129,127,192,0
20,20,7300,15082,135,182,0
