ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16235,24,156,0
1,1,365,16109,20,146,0
2,2,730,15977,12,144,0
3,3,1095,15825,18,170,0
4,4,1460,15686,16,155,0
5,5,1825,15529,11,168,0
6,6,2190,15405,18,142,0
7,7,2555,15272,16,149,0
8,8,2920,15144,15,143,0
9,9,3285,15007,12,149,0
10,10,3650,14888,21,140,0
11,11,4015,14741,22,169,0
12,12,4380,14605,18,154,0
13,13,4745,14456,22,171,0
14,14,5110,14319,21,158,0
15,15,5475,14170,21,170,0
16,16,5840,14008,27,189,0
17,17,6205,13849,14,173,0
18,18,6570,13692,26,183,0
19,19,6935,13530,17,179,0
20,20,7300,13365,16,181,0
