ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16285,46,130,0
1,1,365,16195,55,145,0
2,2,730,16113,53,135,0
3,3,1095,16030,59,142,0
4,4,1460,15921,45,154,0
5,5,1825,15828,46,139,0
6,6,2190,15716,37,149,0
7,7,2555,15632,33,117,0
8,8,2920,15482,18,168,0
9,9,3285,15364,24,142,0
10,10,3650,15228,23,159,0
11,11,4015,15110,26,144,0
12,12,4380,14992,21,139,0
13,13,4745,14853,16,155,0
14,14,5110,14710,20,163,0
15,15,5475,14569,17,158,0
16,16,5840,14400,11,180,0
17,17,6205,14213,9,196,0
18,18,6570,14036,5,182,0
19,19,6935,13842,5,199,0
20,20,7300,13676,7,173,0
