ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16265,54,156,0
1,1,365,16188,73,150,0
2,2,730,16129,88,147,0
3,3,1095,16085,100,144,0
4,4,1460,16030,104,159,0
5,5,1825,16006,97,121,0
6,6,2190,15951,100,155,0
7,7,2555,15930,124,145,0
8,8,2920,15879,97,148,0
9,9,3285,15859,128,148,0
10,10,3650,15835,134,158,0
11,11,4015,15825,138,148,0
12,12,4380,15807,135,153,0
13,13,4745,15791,149,165,0
14,14,5110,15760,122,153,0
15,15,5475,15718,132,174,0
16,16,5840,15710,148,156,0
17,17,6205,15666,142,186,0
18,18,6570,15630,149,185,0
19,19,6935,15627,166,169,0
20,20,7300,15580,169,216,0
