ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16293,71,146,0
1,1,365,16227,69,135,0
2,2,730,16162,67,132,0
3,3,1095,16086,75,151,0
4,4,1460,16012,70,144,0
5,5,1825,15963,88,137,0
6,6,2190,15913,84,134,0
7,7,2555,15876,95,132,0
8,8,2920,15801,99,174,0
9,9,3285,15745,96,152,0
10,10,3650,15659,81,167,0
11,11,4015,15614,109,154,0
12,12,4380,15563,108,159,0
13,13,4745,15504,112,171,0
14,14,5110,15440,111,175,0
15,15,5475,15398,132,174,0
16,16,5840,15357,128,169,0
17,17,6205,15305,125,177,0
18,18,6570,15251,117,171,0
19,19,6935,15188,126,189,0
20,20,7300,15136,137,189,0
