ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16258,26,137,0
1,1,365,16123,24,159,0
2,2,730,15988,26,161,0
3,3,1095,15879,27,136,0
4,4,1460,15746,25,158,0
5,5,1825,15637,25,134,0
6,6,2190,15494,23,166,0
7,7,2555,15365,16,145,0
8,8,2920,15251,20,134,0
9,9,3285,15132,24,143,0
10,10,3650,15012,24,144,0
11,11,4015,14884,31,159,0
12,12,4380,14750,31,165,0
13,13,4745,14616,32,166,0
14,14,5110,14456,34,194,0
15,15,5475,14304,30,182,0
16,16,5840,14172,37,169,0
17,17,6205,14021,28,179,0
18,18,6570,13858,20,183,0
19,19,6935,13692,29,195,0
20,20,7300,13524,18,186,0
