ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16300,69,136,0
1,1,365,16241,66,125,0
2,2,730,16156,72,157,0
3,3,1095,16105,89,140,0
4,4,1460,16068,93,130,0
5,5,1825,16013,87,142,0
6,6,2190,15949,90,154,0
7,7,2555,15871,88,166,0
8,8,2920,15817,99,153,0
9,9,3285,15747,81,151,0
10,10,3650,15700,109,156,0
11,11,4015,15653,121,168,0
12,12,4380,15573,108,188,0
13,13,4745,15519,109,163,0
14,14,5110,15468,123,174,0
15,15,5475,15416,107,159,0
16,16,5840,15370,124,170,0
17,17,6205,15338,138,170,0
18,18,6570,15331,155,162,0
19,19,6935,15298,165,198,0
20,20,7300,15220,110,188,0
