ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16291,73,150,0
1,1,365,16210,71,152,0
2,2,730,16118,66,158,0
3,3,1095,16056,58,120,0
4,4,1460,15992,75,139,0
5,5,1825,15937,84,139,0
6,6,2190,15870,74,141,0
7,7,2555,15827,104,147,0
8,8,2920,15805,121,143,0
9,9,3285,15751,89,143,0
10,10,3650,15691,87,147,0
11,11,4015,15675,134,150,0
12,12,4380,15601,99,173,0
13,13,4745,15557,111,155,0
14,14,5110,15521,125,161,0
15,15,5475,15487,108,142,0
16,16,5840,15422,112,177,0
17,17,6205,15366,129,185,0
18,18,6570,15295,118,189,0
19,19,6935,15247,137,185,0
20,20,7300,15178,132,201,0
